HQ643332.1	Phytophthora pseudotsugae
AF449494.1	Phytophthora psychrophila
HQ261656.1	Phytophthora psychrophila
DQ313223.1	Phytophthora quercetorum
HQ261657.1	Phytophthora quercetorum
AJ131986.1	Phytophthora quercina
HQ261658.1	Phytophthora quercina
HQ261659.1	Phytophthora quercina
HQ643334.1	Phytophthora quercina
HQ643335.1	Phytophthora quercina
HQ643336.1	Phytophthora quercina
HQ643337.1	Phytophthora quercina
HQ261660.1	Phytophthora quininea
HQ261661.1	Phytophthora quininea
HQ643338.1	Phytophthora quininea
AY369368.1	Phytophthora ramorum
HQ261662.1	Phytophthora ramorum
HQ261663.1	Phytophthora ramorum
HQ643339.1	Phytophthora ramorum
AF271221.1	Phytophthora richardiae
JQ626594.1	Phytophthora riparia
JQ626600.1	Phytophthora riparia
JQ626602.1	Phytophthora riparia
AF541911.1	Phytophthora rosacearum
HQ261664.1	Phytophthora rosacearum
AF266761.1	Phytophthora rubi
HQ261665.1	Phytophthora rubi
HQ261666.1	Phytophthora rubi
HQ643340.1	Phytophthora rubi
HQ643341.1	Phytophthora rubi
HQ261667.1	Phytophthora sansomea
HQ261668.1	Phytophthora sansomea
HQ261669.1	Phytophthora sansomea
HQ643342.1	Phytophthora sansomea
HQ643343.1	Phytophthora sansomea
EU925375.1	Phytophthora sansomeana
AF266768.1	Phytophthora sinensis
HQ261670.1	Phytophthora sinensis
HQ261671.1	Phytophthora sinensis
HQ643344.1	Phytophthora sinensis
EF490682.1	Phytophthora siskiyouensis
HQ261672.1	Phytophthora siskiyouensis
HQ261673.1	Phytophthora siskiyouensis
HQ261674.1	Phytophthora siskiyouensis
HQ643345.1	Phytophthora siskiyouensis
HQ643346.1	Phytophthora siskiyouensis
AB217684.1	Phytophthora sojae
AF266769.1	Phytophthora sojae
HQ261675.1	Phytophthora sojae
HQ261676.1	Phytophthora sojae
HQ261677.1	Phytophthora sojae
HQ261678.1	Phytophthora sojae
HQ261679.1	Phytophthora sojae
HQ643347.1	Phytophthora sojae
HQ643348.1	Phytophthora sojae
HQ643349.1	Phytophthora sojae
HQ261691.1	Phytophthora sp. 'kelmania'
HQ261692.1	Phytophthora sp. 'kelmania'
HQ643351.1	Phytophthora sp. 'kelmania'
EF590256.1	Phytophthora sp. 'lagoariana'
HQ261694.1	Phytophthora sp. 'lagoariana'
HQ261695.1	Phytophthora sp. 'lagoariana'
HQ261710.1	Phytophthora sp. 'ohioensis'
EU301169.2	Phytophthora sp. 'personii'
HQ261680.1	Phytophthora sp. AL-2010a
HQ261704.1	Phytophthora sp. AL-2010b
HQ261705.1	Phytophthora sp. AL-2010b
HQ261706.1	Phytophthora sp. AL-2010b
HQ261707.1	Phytophthora sp. AL-2010b
HQ261708.1	Phytophthora sp. AL-2010b
HQ261693.1	Phytophthora sp. AL-2010c
HQ261684.1	Phytophthora sp. AL-2010d
HQ261709.1	Phytophthora sp. AL-2010e
HQ261699.1	Phytophthora sp. BL-2009a
HQ261700.1	Phytophthora sp. BL-2009a
HQ261701.1	Phytophthora sp. BL-2009a
HQ261702.1	Phytophthora sp. BL-2009a
HQ261703.1	Phytophthora sp. BL-2009a
HQ643352.1	Phytophthora sp. CAL-2011b
HQ643353.1	Phytophthora sp. CAL-2011b
HQ643354.1	Phytophthora sp. CAL-2011b
HQ643355.1	Phytophthora sp. CAL-2011b
EF564803.1	Phytophthora sp. cuyabensis
HQ261685.1	Phytophthora sp. cuyabensis
HQ261686.1	Phytophthora sp. cuyabensis
HQ261687.1	Phytophthora sp. cuyabensis
HQ261688.1	Phytophthora sp. cuyabensis
GU191228.1	Phytophthora sp. emzansi/CCB-2010
HQ261689.1	Phytophthora sp. glovera
HQ261690.1	Phytophthora sp. glovera
EF437222.1	Phytophthora sp. Kunnunara
EF680320.1	Phytophthora sp. napoensis
HQ261696.1	Phytophthora sp. napoensis
HQ261697.1	Phytophthora sp. napoensis
HQ261698.1	Phytophthora sp. napoensis
EU035774.1	Phytophthora sp. novaeguinee
KC478759.1	Phytophthora sp. taxon castitis
HQ261712.1	Phytophthora sp. thermophilum
HQ261713.1	Phytophthora sp. thermophilum
EU164426.1	Phytophthora sp. zentmyerii
KF192695.1	Phytophthora stricta
EF590257.1	Phytophthora sulawesiensis
HQ261711.1	Phytophthora sulawesiensis
AF266803.1	Phytophthora syringae
